distribution,order_size,condition_index,seed,heuristic,exact_distance,dqn_distance,heuristic_distance,dqn_minus_heuristic_distance,dqn_improvement_percent,dqn_optimality_gap,dqn_better_than_heuristic,same_distance
uniform,20,23,530022,Largest Gap,112.0,160.0,130.0,30.0,-23.076923076923077,42.857142857142854,False,False
uniform,20,24,530023,S-shape,120.0,182.0,134.0,48.0,-35.82089552238806,51.66666666666667,False,False
uniform,20,24,530023,Return,120.0,182.0,182.0,0.0,0.0,51.66666666666667,False,True
uniform,20,24,530023,Largest Gap,120.0,182.0,128.0,54.0,-42.1875,51.66666666666667,False,False
uniform,20,27,530026,S-shape,128.0,174.0,134.0,40.0,-29.850746268656714,35.9375,False,False
uniform,20,27,530026,Return,128.0,174.0,174.0,0.0,0.0,35.9375,False,True
uniform,20,27,530026,Largest Gap,128.0,174.0,138.0,36.0,-26.08695652173913,35.9375,False,False
uniform,20,28,530027,S-shape,120.0,160.0,134.0,26.0,-19.402985074626866,33.33333333333333,False,False
uniform,20,28,530027,Return,120.0,160.0,160.0,0.0,0.0,33.33333333333333,False,True
uniform,20,28,530027,Largest Gap,120.0,160.0,132.0,28.0,-21.21212121212121,33.33333333333333,False,False
uniform,20,29,530028,S-shape,124.0,188.0,134.0,54.0,-40.298507462686565,51.61290322580645,False,False
uniform,20,29,530028,Return,124.0,188.0,188.0,0.0,0.0,51.61290322580645,False,True
uniform,20,29,530028,Largest Gap,124.0,188.0,128.0,60.0,-46.875,51.61290322580645,False,False
uniform,20,31,530030,S-shape,130.0,176.0,134.0,42.0,-31.343283582089555,35.38461538461539,False,False
uniform,20,31,530030,Return,130.0,176.0,176.0,0.0,0.0,35.38461538461539,False,True
uniform,20,31,530030,Largest Gap,130.0,176.0,134.0,42.0,-31.343283582089555,35.38461538461539,False,False
uniform,20,32,530031,S-shape,118.0,176.0,134.0,42.0,-31.343283582089555,49.152542372881356,False,False
uniform,20,32,530031,Return,118.0,176.0,176.0,0.0,0.0,49.152542372881356,False,True
uniform,20,32,530031,Largest Gap,118.0,176.0,130.0,46.0,-35.38461538461539,49.152542372881356,False,False
uniform,20,33,530032,S-shape,124.0,176.0,134.0,42.0,-31.343283582089555,41.935483870967744,False,False
uniform,20,33,530032,Return,124.0,176.0,176.0,0.0,0.0,41.935483870967744,False,True
uniform,20,33,530032,Largest Gap,124.0,176.0,140.0,36.0,-25.71428571428571,41.935483870967744,False,False
uniform,20,34,530033,S-shape,118.0,156.0,134.0,22.0,-16.417910447761194,32.20338983050847,False,False
